id,unit,type,star,rate,freq,status,typeName
DI-F1-087,CM1-PL,PL-T09,5,0.560,3,meta_only,"곱셈 공식의 도형에의 활용"
DI-F1-109,CM2-GM,T21,5,0.490,3,meta_only,"두 직선 y=mx+n， y=m'x+n'의 위치 관계"
DI-F1-110,CM1-EQ,EQ-T22,5,0.480,3,meta_only,"이차함수의 그래프와 이차방정식의 해"
DI-F1-116,CM1-PL,PL-T20,5,0.510,3,meta_only,"나머지정리(1) 일차식으로 나누었을 때의 나머지"
DI-F1-117,CM1-EQ,EQ-T30,5,0.480,3,meta_only,"이차함수 최대·최소의 활용"
DI-F1-118,CM2-GM,T23,5,0.490,3,meta_only,"세 점을 지나는 원의 방정식"
DI-F1-119,CM2-GM,T03,5,0.440,3,meta_only,"도형의 평행이동"
DI-F1-140,CM1-EQ,EQ-T23,5,0.510,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-F1-146,CM1-EQ,EQ-T57,5,0.530,3,meta_only,"해의 조건이 주어진 연립이차부등식"
DI-F1-147,CM1-EQ,EQ-T23,5,0.520,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-F1-148,CM1-EQ,EQ-T08,5,0.540,3,meta_only,"복소수의 거듭제곱"
DI-F1-149,CM1-EQ,EQ-T27,5,0.420,3,meta_only,"최댓값 또는 최솟값이 주어졌을 때 미정계수 구하기"
DI-F10-012,CM1-EQ,EQ-T41,5,0.330,3,meta_only,"미지수가 3개인 연립일차방정식"
DI-F10-015,CM2-ST,T13,5,0.460,3,meta_only,"집합의 연산의 성질"
DI-F10-016,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F10-031,CM2-ST,T07,5,0.300,3,meta_only,"특정한 원소를 갖거나 갖지 않는 부분집합의 개수"
DI-F10-033,CM2-RF,R03,5,0.310,3,meta_only,"유리식의 값(1) 곱셈 공식 변형 이용"
DI-F10-040,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F10-052,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F10-054,CM2-GM,T26,5,0.340,3,meta_only,"삼각형의 무게중심"
DI-F10-062,CM1-EQ,EQ-T48,5,0.470,3,meta_only,"|ax+b|<c， |ax+b|>c 꼴의 부등식"
DI-F10-063,CM2-GM,T22,5,0.370,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F10-077,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F11-016,CM2-GM,T22,5,0.490,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F11-019,CM1-EQ,EQ-T08,5,0.460,3,meta_only,"복소수의 거듭제곱"
DI-F11-029,CM2-GM,T14,5,0.410,3,meta_only,"대칭이동의 활용(1) 거리의 최솟값"
DI-F11-034,CM1-EQ,EQ-T42,5,0.290,3,meta_only,"정수 조건의 부정방정식"
DI-F11-075,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F11-092,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F11-093,CM1-EQ,EQ-T06,5,0.310,3,meta_only,"조건을 만족시키는 복소수 구하기"
DI-F12-030,CM2-GM,T14,5,0.460,3,meta_only,"대칭이동의 활용(1) 거리의 최솟값"
DI-F12-040,CM2-GM,T14,5,0.400,3,meta_only,"대칭이동의 활용(1) 거리의 최솟값"
DI-F12-052,CM2-GM,T20,5,0.300,3,meta_only,"외분"
DI-F12-053,CM1-EQ,EQ-T42,5,0.320,3,meta_only,"정수 조건의 부정방정식"
DI-F12-057,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F12-058,CM2-ST,T10,5,0.300,3,meta_only,"합집합과 교집합"
DI-F12-059,CM2-GM,T19,5,0.300,3,meta_only,"좌표평면 위의 두 점 사이의 거리 구하기"
DI-F12-092,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F12-093,CM2-GM,T23,5,0.300,3,meta_only,"원의 방정식"
DI-F12-101,CM1-EQ,EQ-T32,5,0.460,3,meta_only,"공통부분이 있는 삼차방정식과 사차방정식의 풀이"
DI-F13-012,CM1-EQ,EQ-T49,5,0.310,3,meta_only,"연립일차방정식의 활용"
DI-F13-013,CM1-EQ,EQ-T56,5,0.300,3,meta_only,"방정식 또는 부등식의 해의 집합의 연산"
DI-F13-014,CM2-GM,T14,5,0.350,3,meta_only,"대칭이동의 활용(1) 거리의 최솟값"
DI-F13-022,CM1-EQ,EQ-T42,5,0.310,3,meta_only,"정수 조건의 부정방정식"
DI-F13-039,CM1-EQ,EQ-T42,5,0.320,3,meta_only,"정수 조건의 부정방정식"
DI-F2-019,CM2-GM,T20,5,0.500,3,meta_only,"선분의 내분점의 활용(1)"
DI-F2-020,CM2-GM,T23,5,0.540,3,meta_only,"중심에 대한 조건이 주어진 원의 방정식"
DI-F2-028,CM1-PL,PL-T09,5,0.460,3,meta_only,"곱셈 공식의 도형에의 활용"
DI-F2-029,CM2-GM,T22,5,0.400,3,meta_only,"점과 직선 사이의 거리의 활용"
DI-F2-048,CM2-GM,T28,5,0.560,3,meta_only,"정점을 지나는 직선의 활용"
DI-F2-049,CM1-PL,PL-T23,5,0.590,3,meta_only,"f(ax+b)를 x-α로 나누는 경우"
DI-F2-050,CM2-GM,T23,5,0.510,3,meta_only,"원의 방정식"
DI-F2-055,CM2-GM,T07,5,0.570,3,meta_only,"점의 대칭이동"
DI-F2-056,CM1-EQ,EQ-T31,5,0.510,3,meta_only,"삼차방정식과 사차방정식의 풀이"
DI-F2-057,CM2-GM,T24,5,0.550,3,meta_only,"원과 직선의 위치 관계"
DI-F2-058,CM1-EQ,EQ-T16,5,0.510,3,meta_only,"미정계수의 결정(3) 두 이차방정식이 주어진 경우"
DI-F2-078,CM1-EQ,EQ-T23,5,0.550,3,meta_only,"이차함수의 그래프와 직선의 교점"
DI-F2-079,CM1-EQ,EQ-T14,5,0.570,3,meta_only,"이차식이 완전제곱식이 되는 조건"
DI-F2-080,CM1-EQ,EQ-T27,5,0.560,3,meta_only,"최댓값 또는 최솟값이 주어졌을 때 미정계수 구하기"
